,slang,formal
12479,ngakakkk,mengakak
12480,bgt,banget
12481,liaat,lihat
12482,gantweng,ganteng
12483,ngakak,mengakak
12484,anjjjjjjjj,anjing
12485,bgttt,banget
12486,bgt,banget
12487,tp,tapi
12488,lohhhh,loh
12489,gakwad,enggak kuat
12490,yg,yang
12491,ngakak,mengakak
12492,gw,gue
12493,pengen,pengin
12494,yg,yang
12495,bngt,banget
12496,bs,bisa
12497,seru2,seru-seru
12498,ga,enggak
12499,ngakak,mengakak
12500,iniii,ini
12501,favoriteeee,favorit
12502,bat,banget
12503,udah,sudah
12504,liat,lihat
12505,lg,lagi
12506,adaa,ada
12507,bat,banget
12508,yak,ya
12509,makasih,terima kasih
12510,q,ku
12511,smp,sampai
12512,nangis,menangis
12513,dinyanyiin,dinyanyikan
12514,donk,dong
12515,yg,yang
12516,seruu,seru
12517,nyengir,menyengir
12518,temennya,temannya
12519,bnr,benar
12520,kgn,kangen
12521,smg,semoga
12522,klk,kelak
12523,klian,kalian
12524,brjdh,berjodoh
12525,akhrt,akhirat
12526,kangennnnn,kangen
12527,bgtt,banget
12528,sma,sama
12529,yg,yang
12530,kyk,kayak
12531,gini,begini
12532,kngen,kangen
12533,aja,saja
12534,kangennnn,kangen
12535,kaka,kakak
12536,kngenn,kangen
12537,kangeenn,kangen
12538,kanggen,kangen
12539,sampe,sampai
12540,kangennn,kangen
12541,kangennnnnnn,kangen
12542,udah,sudah
12543,ysh,ya
12544,sm,sama
12545,sypa,siapa
12546,yg,yang
12547,belain,membela
12548,kmu,kamu
12549,kmu,kamu
12550,"bner""",benar-benar
12551,aj,saja
12552,kangeen,kangen
12553,yg,yang
12554,kmi,kami
12555,klo,kalo
12556,mreka,mereka
12557,aminn,amin
12558,orang2,orang-orang
12559,aminn,amin
12560,nangisss,menangis
12561,abg,abang
12562,smoga,semoga
12563,brjodoh,berjodoh
12564,y,ya
12565,kangenn,kangen
12566,kaliann,kalian
12567,yg,yang
12568,barengg,bareng
12569,yg,yang
12570,yg,yang
12571,krna,karena
12572,smpai,sampai
12573,kpnpun,kapanpun
12574,jugaa,juga
12575,mendj,menjadi
12576,aminnn,amin
12577,allahhhh,allah
12578,yah,ya
12579,jd,jadi
12580,pengen,pengin
12581,pake,pakai
12582,merindinggg,merinding
12583,liat,lihat
12584,yg,yang
12585,bhgia,bahagia
12586,amiennnn,amien
12587,pinter,pintar
12588,bgt,banget
12589,iihh,ih
12590,gitu,begitu
12591,pinter,pintar
12592,kpan,kapan
12593,lhir,lahir
12594,udeh,sudah
12595,smoga,semoga
12596,menjdi,menjadi
12597,ank,anak
12598,yg,yang
12599,y,ya
12600,kk,kakak
12601,bngett,banget
12602,debay,adek bayi
12603,bangeer,banget
12604,lafazd,lafaz
12605,skrng,sekarang
12606,jg,juga
12607,pmbyran,pembayaran
12608,plsa,pulsa
12609,ga,enggak
12610,udh,sudah
12611,"dimana""",dimana-mana
12612,adaa,ada
12613,yaa,ya
12614,trs,terus
12615,sokk,sok
12616,yg,yang
12617,km,kamu
12618,tp,tapi
12619,ngambekan,ambekan
12620,sma,sama
12621,ngeliat,melihat
12622,hub,hubungan
12623,sma2,sama-sama
12624,ngom,mengomong
12625,q,ku
12626,siapaa,siapa
12627,toloollll,tolol
12628,yg,yang
12629,siapaa,siapa
12630,tauu,tau
12631,bodhooo,bodoh
12632,peliharaaaa,pelihara
12633,kmu,kamu
12634,yaa,ya
12635,sampe,sampai
12636,kek,kayak
12637,makanyaa,makanya
12638,klo,kalo
12639,ngom,mengomong
12640,"ati""",hati-hati
12641,kemakan,termakan
12642,bodhoo,bodoh
12643,siihhh,sih
12644,pura2,pura-pura
12645,ga,enggak
12646,mksd,maksud
12647,sm,sama
12648,aq,aku
12649,andaaa,anda
12650,padahall,padahal
12651,buktinyaaa,buktinya
12652,smuaaa,semua
12653,aq,aku
12654,yg,yang
12655,pinter,pintar
12656,doank,doang
12657,lg,lagi
12658,ngambeknya,mengambeknya
12659,gara2,gara-gara
12660,loksyut,lokasi syuting
12661,tar,entar
12662,lama2,lama-lama
12663,kebongkar,terbongkar
12664,ohh,oh
12665,gtu,begitu
12666,yaa,ya
12667,kmu,kamu
12668,ohh,oh
12669,kerjaan,pekerjaan
12670,kmu,kamu
12671,yaa,ya
12672,"artis""",artis-artis
12673,tapii,tapi
12674,kasiian,kasihan
12675,gk,enggak
12676,adaa,ada
12677,yg,yang
12678,kmu,kamu
12679,km,kamu
12680,ga,enggak
12681,ngikutin,mengikuti
12682,aq,aku
12683,trs,terus
12684,gk,enggak
12685,diladenin,diladeni
12686,comen,komen
12687,ngtif,negatif
12688,jgn,jangan
12689,comntr,komentar
12690,dg,dengan
12691,kaliannn,kalian
12692,sgt,sangat
12693,brdiri,berdiri
12694,syg,sayang
12695,gt,begitu
12696,bgtttt,banget
12697,knp,kenapa
12698,ga,enggak
12699,blg,bilang
12700,sma,sama
12701,karna,karena
12702,lbh,lebih
12703,yg,yang
12704,nyari,mencari
12705,sgt,sangat
12706,bgt,banget
12707,karna,karena
12708,mreka,mereka
12709,tpi,tapi
12710,gk,enggak
12711,uda,sudah
12712,aja,saja
12713,skrg,sekarang
12714,lg,lagi
12715,deket,dekat
12716,sma,sama
12717,pda,pada
12718,mulutny,mulutnya
12719,yg,yang
12720,lucu2,lucu-lucu
12721,msalah,masalah
12722,dlu,dulu
12723,y,ya
12724,trserh,terserah
12725,yg,yang
12726,pnting,penting
12727,skrg,sekarang
12728,smua,semua
12729,udh,sudah
12730,sprti,seperti
12731,gmn,bagaimana
12732,waduuuuh,waduh
12733,yg,yang
12734,smpai,sampai
12735,yg,yang
12736,ngedukung,mendukung
12737,yach,ya
12738,yg,yang
12739,aja,saja
12740,foto2,foto-foto
12741,ilang,hilang
12742,msh,masih
12743,blm,belum
12744,klo,kalo
12745,uda,sudah
12746,udh,sudah
12747,msh,masih
12748,ni,ini
12749,aja,saja
12750,ga,enggak
12751,dihpus,dihapus
12752,ni,ini
12753,yg,yang
12754,jd,jadi
12755,bwt,buat
12756,mrekaa,mereka
12757,tauu,tau
12758,gaje,enggak jelas
12759,ngurusin,mengurusi
12760,cakeeeeppp,cakep
12761,benerr,benar
12762,"brg""",bareng-bareng
12763,baanget,banget
12764,anjaaaayyyyyy,anjay
12765,ni,ini
12766,ingt,ingat
12767,lgu,lagu
12768,ngetsz,banget
12769,yg,yang
12770,kemaren,kemarin
12771,utkmu,untukmu
12772,yg,yang
12773,dlm,dalam
12774,yah,ya
12775,tetep,tetap
12776,anj,anjing
12777,merekaa,mereka
12778,belain,membela
12779,kann,kan
12780,dieee,dia
12781,yaahh,ya
12782,gini,begini
12783,klo,kalo
12784,bgt,banget
12785,alloh,allah
12786,yg,yang
12787,hijap,hijab
12788,smua,semua
12789,dri,dari
12790,pd,pada
12791,ngurusin,mengurusi
12792,org,orang
12793,hijap,hijab
12794,ternodain,ternodai
12795,suka2,suka-suka
12796,x,kali
12797,wadaaw,waduh
12798,komen2,komen-komen
12799,ngeri2,ngeri-ngeri
12800,yg,yang
12801,km,kamu
12802,mn,mana
12803,yg,yang
12804,bnr,benar
12805,mn,mana
12806,yg,yang
12807,slh,salah
12808,tp,tapi
12809,kt2,kata-kata
12810,yg,yang
12811,pd,pada
12812,agk,agak
12813,tdk,tidak
12814,bgs,bagus
12815,tdk,tidak
12816,tp,tapi
12817,skli,sekali
12818,lg,lagi
12819,tlg,tolong
12820,slhkan,salahkan
12821,jilbabny,jilbabnya
12822,tp,tapi
12823,slhkan,salahkan
12824,perilakuny,perilakunya
12825,bkn,bukan
12826,dr,dari
12827,ketaatanny,ketaatannya
12828,kepda,kepada
12829,sblmny,sebelumnya
12830,bljr,belajar
12831,jd,jadi
12832,pedulilaaaah,pedulilah
12833,ingetin,mengingatkan
12834,ga,enggak
12835,terjrumus,terjerumus
12836,dlm,dalam
12837,karna,karena
12838,yg,yang
12839,kek,kayak
12840,gini,begini
12841,stuju,setuju
12842,bnyak,banyak
12843,yg,yang
12844,temen,teman
12845,yg,yang
12846,gitu,begitu
12847,sebenernya,sebenarnya
12848,aja,saja
12849,yg,yang
12850,sbb,sebab
12851,tp,tapi
12852,aq,aku
12853,lg,lagi
12854,dlu,dulu
12855,tp,tapi
12856,igtlah,ingatlah
12857,dtgkan,datangkan
12858,tp,tapi
12859,aq,aku
12860,smoga,semoga
12861,sperti,seperti
12862,dlu,dulu
12863,aq,aku
12864,yg,yang
12865,dlu,dulu
12866,aq,aku
12867,kpd,kepada
12868,smg,semoga
12869,org,orang
12870,ga,enggak
12871,ngerti,mengerti
12872,kasi,kasih
12873,aja,saja
12874,trus,terus
12875,dy,dia
12876,berhijap,berhijab
12877,ngk,enggak
12878,dy,dia
12879,emang,memang
12880,udh,sudah
12881,bener,benar
12882,knp,kenapa
12883,dy,dia
12884,yg,yang
12885,bnyk,banyak
12886,gk,enggak
12887,org,orang
12888,jgn,jangan
12889,dri,dari
12890,benahin,membenahi
12891,ngomong,mengomong
12892,ga,enggak
12893,temen,teman
12894,yg,yang
12895,ga,enggak
12896,krn,karena
12897,ga,enggak
12898,bener,benar
12899,kasi,kasih
12900,kmu,kamu
12901,yg,yang
12902,lg,lagi
12903,ngerti,mengerti
12904,krn,karena
12905,ohhhh,oh
12906,yg,yang
12907,tp,tapi
12908,gk,enggak
12909,bener,benar
12910,org,orang
12911,yapp,ya
12912,yg,yang
12913,udah,sudah
12914,ga,enggak
12915,emang,memang
12916,tp,tapi
12917,kn,kan
12918,aja,saja
12919,jauhh,jauh
12920,bingitt,banget
12921,klw,kalau
12922,trims,terima kasih
12923,yg,yang
12924,buka2an,buka-bukaan
12925,stiap,setiap
12926,pst,pasti
12927,liat,lihat
12928,tp,tapi
12929,ga,enggak
12930,org,orang
12931,pst,pasti
12932,dy,dia
12933,ato,atau
12934,tdk,tidak
12935,ngembali,kembali
12936,pake,pakai
12937,donk,dong
12938,stiap,setiap
12939,pst,pasti
12940,liat,lihat
12941,sp,sapa
12942,yg,yang
12943,bilng,bilang
12944,lg,lagi
12945,kerennn,keren
12946,nyangka,menyangka
12947,trs,terus
12948,yaa,ya
12949,semngat,semangat
12950,amiin,amin
12951,mw,mau
12952,pengen,pengin
12953,kk,kakak
12954,lekong,laki
12955,bgt,banget
12956,kmu,kamu
12957,g,enggak
12958,kacauuuu,kacau
12959,ngimpi,mimpi
12960,yaa,ya
12961,owh,oh
12962,ad,ada
12963,d,di
12964,gk,enggak
12965,d,di
12966,ni,ini
12967,org,orang
12968,gak,enggak
12969,y,ya
12970,yah,ya
12971,udah,sudah
12972,ngerampas,merampas
12973,syg,sayang
12974,lg,lagi
12975,sm,sama
12976,elu,lu
12977,udah,sudah
12978,ngehancurin,menghancurkan
12979,y,ya
12980,skrg,sekarang
12981,ngungkit2,mengungkit-ungkit
12982,g,enggak
12983,mlu,malu
12984,org,orang
12985,gw,gue
12986,g,enggak
12987,slah,salah
12988,mba,mbak
12989,yg,yang
12990,gak,enggak
12991,nyadar,menyadar
12992,kaleee,kali
12993,dmn,dimana
12994,sbg,sebagai
12995,d,di
12996,sm,sama
12997,tp,tapi
12998,y,ya
12999,qm,kamu
13000,sm,sama
13001,sndiri,sendiri
13002,gak,enggak
13003,laki2,laki-laki
13004,laen,lain
13005,aja,saja
13006,mksd,maksud
13007,bingit,banget
13008,caranga,caranya
13009,yg,yang
13010,ga,enggak
13011,usa,usah
13012,dipikirin,dipikirkan
13013,yg,yang
13014,mreka,mereka
13015,yg,yang
13016,uda,sudah
13017,yg,yang
13018,tp,tapi
13019,cantikk,cantik
13020,lg,lagi
13021,nunduk,menunduk
13022,ny,nya
13023,y,ya
13024,trus,terus
13025,g,enggak
13026,kyk,kayak
13027,tembemmm,tembem
13028,lucuuuuuuuuuu,lucu
13029,bundaaa,bunda
13030,pngn,pengin
13031,nyubitt,mencubit
13032,hay,hai
13033,yg,yang
13034,jls2,jelas-jelas
13035,supeer,super
13036,sampe,sampai
13037,sekrang,sekarang
13038,"bener""",benar-benar
13039,bgt,banget
13040,mksh,terima kasih
13041,udah,sudah
13042,ksh,kasih
13043,jd,jadi
13044,gak,enggak
13045,mksh,terima kasih
13046,yg,yang
13047,inginkn,inginkan
13048,brsma,bersama
13049,laki2,laki-laki
13050,yg,yang
13051,ninggalin,meninggalkan
13052,nyesel,menyesal
13053,ampe,sampai
13054,pst,pasti
13055,inni,ini
13056,appa,apa
13057,blm,belum
13058,hayooo,hayo
13059,ttp,tetap
13060,adyem,adem
13061,kluar,keluar
13062,yg,yang
13063,mitnah,memfitnah
13064,gk,enggak
13065,lgsg,langsung
13066,cantiknyaaaaa,cantiknya
13067,ajah,saja
13068,nie,nih
13069,tmbm,tembam
13070,tpi,tapi
13071,ttp,tetap
13072,cntik,cantik
13073,cantix,cantik
13074,z,saja
13075,seger,segar
13076,bnyk,banyak
13077,c,sih
13078,yg,yang
13079,kriput,keriput
13080,g,enggak
13081,jelex,jelek
13082,g,enggak
13083,ngurus,mengurus
13084,drmn,darimana
13085,"laku""",laku-laku
13086,yg,yang
13087,"orang""nya",orang-orangnya
13088,jg,juga
13089,pd,pada
13090,kacian,kasihan
13091,ngak,enggak
13092,diladenin,diladeni
13093,tar,entar
13094,yg,yang
13095,cape,capek
13096,jg,juga
13097,mancing2,memancing-mancing
13098,aja,saja
13099,pake,pakai
13100,diem,diam
13101,tetep,tetap
13102,ak,aku
13103,d,di
13104,gituin,begitukan
13105,lg,lagi
13106,pdahal,padahal
13107,bgt,banget
13108,lupain,melupakan
13109,d,di
13110,bgt,banget
13111,klo,kalo
13112,inget,ingat
13113,lg,lagi
13114,eeeeh,eh
13115,"bner""",benar-benar
13116,ngingetin,mengingatkan
13117,k,ke
13118,tp,tapi
13119,ajja,saja
13120,sperti,seperti
13121,dlu,dulu
13122,jngan,jangan
13123,kpancing,terpancing
13124,lakuin,melakukan
13125,gtu,begitu
13126,cma,cuma
13127,cri,cari
13128,sbenernya,sebenarnya
13129,bkin,bikin
13130,yg,yang
13131,gk,enggak
13132,bgt,banget
13133,klo,kalo
13134,mh,mah
13135,ga,enggak
13136,yg,yang
13137,bnr2,benar-benar
13138,ksih,kasih
13139,cma,cuma
13140,gw,gue
13141,yg,yang
13142,ngerasa,merasa
13143,cantiiik,cantik
13144,mikirinnn,memikirkan
13145,tetep,tetap
13146,yg,yang
13147,syang,sayang
13148,mf,maaf
13149,y,ya
13150,mb,mbak
13151,gak,enggak
13152,w,gue
13153,klo,kalo
13154,bnr,benar
13155,dgn,dengan
13156,"diam""",diam-diam
13157,bw,bawa
13158,pst,pasti
13159,ni,ini
13160,klo,kalo
13161,sampe,sampai
13162,k,ke
13163,akn,akan
13164,mengalahkn,mengalahkan
13165,yg,yang
13166,lg,lagi
13167,skrg,sekarang
13168,jd,jadi
13169,lg,lagi
13170,yaa,ya
13171,iyaa,iya
13172,nyindirin,menyindir
13173,trus,terus
13174,ngambek,mengambek
13175,nee,ini
13176,ndak,indak
13177,smua,semua
13178,temen2,teman-teman
13179,klakuan,kelakuan
13180,tp,tapi
13181,merka,mereka
13182,ga,enggak
13183,ngomong,mengomong
13184,atw,atau
13185,temen,teman
13186,yg,yang
13187,gak,enggak
13188,dgn,dengan
13189,tp,tapi
13190,klo,kalo
13191,dgn,dengan
13192,cm,cuma
13193,aja,saja
13194,msh,masih
13195,byk,banyak
13196,temen,teman
13197,yg,yang
13198,laen,lain
13199,mksdx,maksudnya
13200,shabat,sahabat
13201,yg,yang
13202,jk,jika
13203,brbuat,berbuat
13204,slh,salah
13205,tp,tapi
13206,kl,kalau
13207,sm2,sama-sama
13208,mmberi,memberi
13209,nm,nama
13210,bkn,bukan
13211,sbhabat,sahabat
13212,tp,tapi
13213,pnjerumus,penjerumus
13214,hrs,harus
13215,bs,bisa
13216,bedain,membedakan
13217,mn,mana
13218,yg,yang
13219,tman,teman
13220,shbat,sahabat
13221,dgn,dengan
13222,melakukn,melakukan
13223,mksud,maksud
13224,sya,saya
13225,percya,percaya
13226,yg,yang
13227,seorg,seorang
13228,berkluarga,berkeluarga
13229,seneng,senang
13230,kn,kan
13231,klo,kalo
13232,liat,lihat
13233,rmh,rumah
13234,klian,kalian
13235,dlm,dalam
13236,siapa2,siapa-siapa
13237,yg,yang
13238,fto,foto
13239,ketipu,tertipu
13240,"laki""",laki-laki
13241,gak,enggak
13242,sempet,sempat
13243,yg,yang
13244,mengait2kan,mengait-ngaitkan
13245,taik,tahi
13246,nyir2,nyinyir
13247,gosipin,menggosipkan
13248,org,orang
13249,gk,enggak
13250,trbukti,terbukti
13251,yg,yang
13252,nie,ini
13253,mudah2an,mudah-mudahan
13254,dpt,dapat
13255,tai,tahi
13256,yg,yang
13257,tdk,tidak
13258,dgn,dengan
13259,jgn,jangan
13260,d,di
13261,sllu,selalu
13262,kya,kaya
13263,sendri,sendiri
13264,ttp,tetap
13265,bener,benar
13266,bgt,banget
13267,bntar,bentar
13268,lg,lagi
13269,jg,juga
13270,cepet,cepat
13271,kebongkar,terbongkar
13272,km,kamu
13273,kmu,kamu
13274,bnget,banget
13275,duuuhhh,duh
13276,bgt,banget
13277,cwe,cewek
13278,nmbk,menembak
13279,cwo,cowok
13280,gw,gue
13281,dengerin,dengarkan
13282,gitu,begitu
13283,gakkk,enggak
13284,yg,yang
13285,nyanyiin,menyanyikan
13286,ahh,ah
13287,yaa,ya
13288,tuch,tuh
13289,ampunnnnn,ampun
13290,gokil,gila
13291,abiiiiisssss,habis
13292,tp,tapi
13293,jga,juga
13294,syg,sayang
13295,tikung2,tikung-tikung
13296,ntar,entar
13297,ma,sama
13298,cwok,cowok
13299,cantikk,cantik
13300,bangedd,banget
13301,wuastagah,astaga
13302,bedaaa,beda
13303,jaoooh,jauh
13304,mateeeeeeeeeeee,mati
13305,parsis,persis
13306,dg,dengan
13307,jngn,jangan
13308,sumpeh,sumpah
13309,kk,kakak
13310,jg,juga
13311,yaa,ya
13312,emang,memang
13313,byk,banyak
13314,yg,yang
13315,kek,kayak
13316,bener,benar
13317,yak,ya
13318,bgt,banget
13319,donk,dong
13320,jd,jadi
13321,iyh,iya
13322,k,kak
13323,kmana,kemana
13324,ga,enggak
13325,tetep,tetap
13326,aja,saja
13327,elo,lo
13328,kyk,kayak
13329,skali,sekali
13330,ibuk2,ibu-ibu
13331,cantiqs,cantik
13332,bangetttttttt,banget
13333,gemes,gemas
13334,kecik,kecil
13335,smpai,sampai
13336,nggak,enggak
13337,tp,tapi
13338,tetep,tetap
13339,yg,yang
13340,ga,enggak
13341,tetehh,teteh
13342,brasa,berasa
13343,dr,dari
13344,udh,sudah
13345,bgt,banget
13346,ga,enggak
13347,krn,karena
13348,udah,sudah
13349,benar2,benar-benar
13350,yg,yang
13351,trlihat,terlihat
13352,bhw,bahwa
13353,mmberikan,memberikan
13354,utk,untuk
13355,dn,dan
13356,dlm,dalam
13357,khidupan,kehidupan
13358,kluarga,keluarga
13359,bnget,banget
13360,jdi,jadi
13361,srpti,seperti
13362,yg,yang
13363,dinamakn,dinamakan
13364,org,orang
13365,yg,yang
13366,pst,pasti
13367,seneng,senang
13368,bgt,banget
13369,liatnya,lihatnya
13370,yg,yang
13371,ja,saja
13372,gak,enggak
13373,ma,sama
13374,pdahal,padahal
13375,org,orang
13376,mlu,melulu
13377,sgtu,sebegitu
13378,yg,yang
13379,paati,pasti
13380,th,tahu
13381,yg,yang
13382,jg,juga
13383,kluarga,keluarga
13384,jng,jangan
13385,kutuu,kutu
13386,setelur2nya,setelur-telurnya
13387,yg,yang
13388,bgt,banget
13389,kl,kalo
13390,kluarga,keluarga
13391,ni,ini
13392,seneng,senang
13393,bgt,banget
13394,dech,deh
13395,seneng,senang
13396,bgt,banget
13397,liatnya,lihatnya
13398,ak,aku
13399,yg,yang
13400,khadiran,kehadiran
13401,dlm,dalam
13402,kel,keluarga
13403,dg,dengan
13404,srta,serta
13405,d,di
13406,tmbah,tambah
13407,kcil,kecil
13408,cntik,cantik
13409,mmberi,memberi
13410,kberkahn,keberkahan
13411,kbahagiaan,kebahagiaan
13412,smoga,semoga
13413,tntram,tentram
13414,brsama,bersama
13415,kel,keluarga
13416,hngga,hingga
13417,kl,kalo
13418,ad,ada
13419,yg,yang
13420,brpndapat,berpendapat
13421,mnilai,menilai
13422,trutama,terutama
13423,jgn,jangan
13424,d,di
13425,hiraukn,hiraukan
13426,diamkn,diamkan
13427,sj,saja
13428,hrsny,harusny
13429,mreka,mereka
13430,brsyukur,bersyukur
13431,in,ini
13432,mmberikn,memberikan
13433,utk,untuk
13434,d,di
13435,rasakn,rasakan
13436,d,di
13437,utk,untuk
13438,cari2,cari-cari
13439,kesalahanny,kesalahannya
13440,kekuranganny,kekurangannya
13441,seandainy,seandainya
13442,yg,yang
13443,sdh,sudah
13444,it,itu
13445,trutama,terutama
13446,tiba2,tiba-tiba
13447,matany,matanya
13448,krn,karena
13449,perasaanny,perasaannya
13450,gak,enggak
13451,milih,memilih
13452,sukak,suka
13453,bgt,banget
13454,liat,lihat
13455,mmg,memang
13456,gk,enggak
13457,slh,salah
13458,yaa,ya
13459,dede,adek
13460,yg,yang
13461,diindonesis,diindonesia
13462,seneng,senang
13463,liyatnya,lihatnya
13464,kayahhh,kaya
13465,yg,yang
13466,beneran,benaran
13467,tu,itu
13468,org,orang
13469,tai,tahi
13470,gw,gue
13471,hrs,harus
13472,ala2,ala-ala
13473,ala2,ala-ala
13474,indo,indonesia
13475,kk,kakak
13476,nonton,menonton
13477,yook,yuk
13478,yoookkkk,yuk
13479,siihh,sih
13480,elus2,elus-elus
13481,asliiiii,asli
13482,nonton,menonton
13483,aduuhhhh,aduh
13484,baper,bawa perasaan
13485,yha,ya
13486,yg,yang
13487,engga,enggak
13488,ampuuun,ampun
13489,yg,yang
13490,ngatain,mengatai
13491,belom,belum
13492,ngaca,mengaca
13493,ngomong,mengomong
13494,diajarin,diajari
13495,bgt,banget
13496,yg,yang
13497,ngatain,mengatai
13498,dengerin,mendengarkan
13499,gk,enggak
13500,sampe,sampai
13501,yaaa,ya
13502,liat,lihat
13503,ngehina,menghina
13504,gini,begini
13505,lucu2,lucu-lucu
13506,ngatain,mengatai
13507,d,di
13508,rmh,rumah
13509,ga,enggak
13510,bgt,banget
13511,ngatain,mengatai
13512,ga,enggak
13513,padahl,padahal
13514,knp,kenapa
13515,kasian,kasihan
13516,ga,enggak
13517,doank,doang
13518,tpi,tapi
13519,kasian,kasihan
13520,udahlah,sudahlah
13521,bgt,banget
13522,jelekin,menjelekkan
13523,org,orang
13524,org,orang
13525,yg,yang
13526,ngatain,mengatai
13527,kek,kayak
13528,gitu,begitu
13529,nggak,enggak
13530,ngaca,mengaca
13531,dikatain,dikatai
13532,kek,kayak
13533,org,orang
13534,ngatain,mengatai
13535,org,orang
13536,btul,betul
13537,tu,itu
13538,mrk,mereka
13539,gimana,bagaimana
13540,ga,enggak
13541,d,di
13542,sekolahin,sekolahkan
13543,astagaaaa,astaga
13544,ank,anak
13545,gak,enggak
13546,ortu,orang tua
13547,"kecil""",kecil-kecil
13548,da,dah
13549,jd,jadi
13550,jgn,jangan
13551,karna,karena
13552,klo,kalo
13553,dr,dari
13554,donk,dong
13555,yg,yang
13556,"keren""",keren-keren
13557,ngomongnya,mengomongnya
13558,engga,enggak
13559,kejahatn,kejahatan
13560,bhwa,bahwa
13561,slam,salam
13562,ngatain,mengatai
13563,ngelewati,melewati
13564,gak,enggak
13565,yaaaa,ya
13566,kalu,kalau
13567,kalu,kalau
13568,jngan,jangan
13569,ngerendahin,merendahkan
13570,nyalahin,menyalahkan
13571,apaalahh,apalah
13572,gak,enggak
13573,ngerasa,merasa
13574,ga,enggak
13575,d,di
13576,klo,kalo
13577,tnp,tanpa
13578,menyebut2,menyebut-nyebut
13579,hny,hanya
13580,sm,sama
13581,tp,tapi
13582,jg,juga
13583,ap,apa
13584,yg,yang
13585,sy,saya
13586,tdk,tidak
13587,klo,kalo
13588,d,di
13589,d,di
13590,sbg,sebagai
13591,ortu,orang tua
13592,hrus,harus
13593,jgn,jangan
13594,yg,yang
13595,slh,salah
13596,klo,kalo
13597,bgtu,begitu
13598,ga,enggak
13599,yg,yang
13600,bener,benar
13601,yg,yang
13602,slh,salah
13603,yg,yang
13604,kmu,kamu
13605,gak,enggak
13606,nyangka,menyangka
13607,kmu,kamu
13608,udah,sudah
13609,jngan,jangan
13610,sy,saya
13611,kmrn,kemarin
13612,na,nya
13613,bkn,bukan
13614,utk,untuk
13615,tp,tapi
13616,utk,untuk
13617,yg,yang
13618,d,di
13619,lg,lagi
13620,yg,yang
13621,mnt,minta
13622,sprti,seperti
13623,sm,sama
13624,kiya,kita
13625,aja,saja
13626,gak,enggak
13627,ngaca,mengaca
13628,gak,enggak
13629,yah,ya
13630,smpe,sampai
13631,ga,enggak
13632,yg,yang
13633,sampe,sampai
13634,bgt,banget
13635,ga,enggak
13636,miriiiiip,mirip
13637,dirimuuu,dirimu
13638,yg,yang
13639,udh,sudah
13640,cantiik,cantik
13641,aamiin,amin
13642,pake,pakai
13643,gini,begini
13644,amiiiiinnn,amin
13645,bsk,besok
13646,diginiin,dibeginikan
13647,gini,begini
13648,yaah,ya
13649,yoiiu,yoi
13650,yaaa,ya
13651,semuanyaaaa,semuanya
13652,tp,tapi
13653,yaa,ya
13654,smg,semoga
13655,cpt,cepat
13656,nyusul,menyusul
13657,yah,ya
13658,artis2,artis-artis
13659,yg,yang
13660,suka.a,sukanya
13661,jdii,jadi
13662,ikut2an,ikut-ikutan
13663,ni,nih
13664,blnja,belanja
13665,d,di
13666,fto,foto
13667,sma,sama
13668,brangnya,barangnya
13669,"sama""",sama-sama
13670,bgus,bagus
13671,jga,juga
13672,bgs,bagus
13673,bngt,banget
13674,hdp,hidup
13675,kk,kakak
13676,lw,kalau
13677,ada2,ada-ada
13678,aja,saja
13679,yg,yang
13680,nimpuk,menimpuk
13681,ga,enggak
13682,gara2,gara-gara
13683,rekomendasiin,merekomendasikan
13684,abiss,habis
13685,temennya,temannya
13686,gk,enggak
13687,tp,tapi
13688,tdk,tidak
13689,prlu,perlu
13690,lg,lagi
13691,karna,karena
13692,yaa,ya
13693,gw,gue
13694,coyyy,coy
13695,gk,enggak
13696,tdk,tidak
13697,prlu,perlu
13698,lg,lagi
13699,suaranyaa,suaranya
13700,denger,dengar
13701,bgt,banget
13702,jgn,jangan
13703,yg,yang
13704,bener,benar
13705,udh,sudah
13706,ngurusin,mengurusi
13707,hdup,hidup
13708,org,orang
13709,aja,saja
13710,yg,yang
13711,baik2,baik-baik
13712,klo,kalo
13713,belain,membela
13714,krn,karena
13715,kluarga,keluarga
13716,yg,yang
13717,aja,saja
13718,jalanin,menjalani
13719,hdup,hidup
13720,gk,enggak
13721,d,di
13722,yg,yang
13723,jnagn,jangan
13724,tar,entar
13725,gw,gue
13726,sma,sama
13727,tp,tapi
13728,gara2,gara-gara
13729,gw,gue
13730,kcwa,kecewa
13731,udah,sudah
13732,yg,yang
13733,bgt,banget
13734,skrg,sekarang
13735,jaman2,jaman-jaman
13736,sm,sama
13737,dlu,dulu
13738,sok2an,sok-sokan
13739,dket2in,dekat-dekati
13740,jd,jadi
13741,cobak,coba
13742,dehh,deh
13743,psti,pasti
13744,msh,masih
13745,britanya,beritanya
13746,ehhh,eh
13747,ilang,hilang
13748,tau2,tau-tau
13749,pcrn,pacaran
13750,sm,sama
13751,trs,terus
13752,mahh,mah
13753,emg,memang
13754,g,enggak
13755,tetep,tetap
13756,ngatain,mengatai
13757,sii,sih
13758,yg,yang
13759,trlalu,terlalu
13760,sbg,sebagai
13761,jamam,jaman
13762,skrg,sekarang
13763,org,orang
13764,yg,yang
13765,org,orang
13766,yg,yang
13767,gini,begini
13768,yaaa,ya
13769,utk,untuk
