,slang,formal
2361,dngan,dengan
2362,dg,dengan
2363,ga,enggak
2364,nyangka,menyangka
2365,nunggu,menunggu
2366,ngerasain,merasai
2367,ngerasain,merasai
2368,gmn,bagaimana
2369,yaaa,ya
2370,kancang,kencang
2371,tmbh,tambah
2372,cntik,cantik
2373,bnyk,banyak
2374,knp,kenapa
2375,mansyoallah,masyaallah
2376,skali,sekali
2377,canttttikkk,cantik
2378,dapetin,mendapati
2379,subhanalloh,subhanallah
2380,dlm,dalam
2381,slmt,selamat
2382,utk,untuk
2383,pke,pakai
2384,lbh,lebih
2385,keliatan,kelihatan
2386,mksh,terima kasih
2387,udah,sudah
2388,ksh,kasih
2389,saranin,sarankan
2390,dapetin,mendapati
2391,stiap,setiap
2392,lkuin,lakukan
2393,ttep,tetap
2394,langgenh,langgeng
2395,foto2nya,foto-fotonya
2396,tanggung2,tanggung-tanggung
2397,salluutt,salut
2398,pkai,pakai
2399,lht,lihat
2400,kmu,kamu
2401,skrg,sekarang
2402,pake,pakai
2403,sm,sama
2404,kmu,kamu
2405,pd,pada
2406,org2,orang-orang
2407,yg,yang
2408,smua,semua
2409,mkn,makin
2410,pake,pakai
2411,seneng,senang
2412,liat,lihat
2413,pdng,padang
2414,syantik,cantik
2415,warbiyasah,luar biasa
2416,skrg,sekarang
2417,pk,pakai
2418,kk,kakak
2419,mbk,mbak
2420,keedaannya,keadaannya
2421,lagu2,lagu-lagu
2422,saya2,saya-saya
2423,tunggu2,tunggu-tunggu
2424,sekrng,sekarang
2425,mngkin,mungkin
2426,ga,enggak
2427,lg,lagi
2428,tp,tapi
2429,lagu2nya,lagu-lagunya
2430,ttap,tetap
2431,bsa,bisa
2432,spertinya,sepertinya
2433,ma,sama
2434,kyk,kayak
2435,cm,cuma
2436,kmrn,kemarin
2437,ad,ada
2438,mrah,marah
2439,gra2,gara-gara
2440,skrg,sekarang
2441,dy,dia
2442,sngaja,sengaja
2443,kyk,kayak
2444,jlek,jelek
2445,bs,bisa
2446,jd,jadi
2447,udah2,sudah-sudah
2448,smua,semua
2449,udh,sudah
2450,ungkit2,ungkit-ungkit
2451,udh,sudah
2452,pura2,pura-pura
2453,gatau,enggak tau
2454,curhat2,curhat-curhat
2455,matany,matanya
2456,klo,kalo
2457,kyk,kayak
2458,gni,begini
2459,byk,banyak
2460,bner,benar
2461,klo,kalo
2462,dteng,datang
2463,k,ke
2464,mata'y,matanya
2465,baju2,baju-baju
2466,ayoooo,ayo
2467,buruannn,buruan
2468,emng,memang
2469,perubut,perebut
2470,sumai,suami
2471,hdp,hidup
2472,tk,tak
2473,tdk,tidak
2474,sprti,seperti
2475,mb,mbak
2476,elo,lo
2477,urusin,mengurusi
2478,apah,apa
2479,sm,sama
2480,bagus2,bagus-bagus
2481,say,sayang
2482,sekarng,sekarang
2483,mb,mbak
2484,ma,sama
2485,mbk,mbak
2486,jd,jadi
2487,bgt,banget
2488,ma,sama
2489,sbg,sebagai
2490,mmbela,membela
2491,mb,mbak
2492,mslhnya,masalahnya
2493,hnya,hanya
2494,sndri,sendiri
2495,sy,saya
2496,sj,saja
2497,gpp,enggak apa-apa
2498,krn,karena
2499,msh,masih
2500,bnyk,banyak
2501,llki,lelaki
2502,dluar,diluar
2503,sna,sana
2504,yg,yang
2505,mw,mau
2506,sm,sama
2507,km,kamu
2508,boleh2,boleh-boleh
2509,dg,dengan
2510,dya,dia
2511,pantes,pantas
2512,maluuuu,malu
2513,beda2,beda-beda
2514,mksh,terima kasih
2515,udh,sudah
2516,nyaranin,menyarankan
2517,pake,pakai
2518,skrng,sekarang
2519,ja,saja
2520,x,kali
2521,dgn,dengan
2522,masing2,masing-masing
2523,lagu2nya,lagu-lagunya
2524,tongolin,menongol
2525,sm,sama
2526,ahhh,ah
2527,cabol,cabul
2528,ngomong,mengomong
2529,ape,apa
2530,nyet,monyet
2531,muna,munafik
2532,jing,anjing
2533,tot,entot
2534,nihh,nih
2535,sm,sama
2536,ttg,tentang
2537,tuhh,tuh
2538,kmu,kamu
2539,smoga,semoga
2540,dpt,dapat
2541,hidiyah,hidayah
2542,jgn,jangan
2543,percya,percaya
2544,bgi,bagi
2545,tlg,tolong
2546,sya,saya
2547,sdri,sendiri
2548,sdh,sudah
2549,tdi,tadi
2550,mgkin,mungkin
2551,bkn,bukan
2552,sya,saya
2553,blg,bilang
2554,bhwa,bahwa
2555,mimin,admin
2556,indo,indonesia
2557,dr,dari
